date,LSTM,XGBoost
2026-06-05,17.551323245763783,18.68559
2026-06-06,16.910308648943904,18.731468
2026-06-07,16.484580335617068,18.824268
2026-06-08,16.138763340711595,18.843298
2026-06-09,15.8337041759491,18.885788
2026-06-10,15.558659085631373,18.863525
2026-06-11,15.30544891893864,18.866772
2026-06-12,15.06934912979603,18.948776
2026-06-13,14.845010610818866,18.973093
2026-06-14,14.62784804105759,19.001675
2026-06-15,14.41464102625847,18.980795
2026-06-16,14.20329208135605,18.99771
2026-06-17,13.993058238625528,18.992327
2026-06-18,13.784251778721812,19.006794
2026-06-19,13.577188885807994,19.001812
2026-06-20,13.373175933957102,19.001812
2026-06-21,13.172207718491556,19.001812
2026-06-22,12.97383143246174,19.001812
2026-06-23,12.77606799721718,19.001812
2026-06-24,12.577828333973889,19.001812
2026-06-25,12.379997237920763,19.001812
2026-06-26,12.183981273174288,19.001812
2026-06-27,11.9893978959322,19.013374
2026-06-28,11.797625044584276,19.022118
2026-06-29,11.60860481709242,19.022118
2026-06-30,11.422033390402795,19.022118
2026-07-01,11.237969317138196,19.022118
2026-07-02,11.056163423359395,19.048153
2026-07-03,10.876840160787108,19.125885
2026-07-04,10.700181693136694,19.245861
