date,forecast_temp
2026-06-05,17.551323245763783
2026-06-06,16.910308648943904
2026-06-07,16.484580335617068
2026-06-08,16.138763340711595
2026-06-09,15.8337041759491
2026-06-10,15.558659085631373
2026-06-11,15.30544891893864
2026-06-12,15.06934912979603
2026-06-13,14.845010610818866
2026-06-14,14.62784804105759
2026-06-15,14.41464102625847
2026-06-16,14.20329208135605
2026-06-17,13.993058238625528
2026-06-18,13.784251778721812
2026-06-19,13.577188885807994
2026-06-20,13.373175933957102
2026-06-21,13.172207718491556
2026-06-22,12.97383143246174
2026-06-23,12.776067997217181
2026-06-24,12.577828333973887
2026-06-25,12.379997237920763
2026-06-26,12.183981273174288
2026-06-27,11.9893978959322
2026-06-28,11.797625044584276
2026-06-29,11.60860481709242
2026-06-30,11.422033390402795
2026-07-01,11.237969317138196
2026-07-02,11.056163423359395
2026-07-03,10.876840160787108
2026-07-04,10.700181693136694
