date,forecast_temp
2026-06-05,18.68559
2026-06-06,18.731468
2026-06-07,18.824268
2026-06-08,18.843298
2026-06-09,18.885788
2026-06-10,18.863525
2026-06-11,18.866772
2026-06-12,18.948776
2026-06-13,18.973093
2026-06-14,19.001675
2026-06-15,18.980795
2026-06-16,18.99771
2026-06-17,18.992327
2026-06-18,19.006794
2026-06-19,19.001812
2026-06-20,19.001812
2026-06-21,19.001812
2026-06-22,19.001812
2026-06-23,19.001812
2026-06-24,19.001812
2026-06-25,19.001812
2026-06-26,19.001812
2026-06-27,19.013374
2026-06-28,19.022118
2026-06-29,19.022118
2026-06-30,19.022118
2026-07-01,19.022118
2026-07-02,19.048153
2026-07-03,19.125885
2026-07-04,19.245861
